#relative Höhe in m (Tachy)	Rechtswert in m	Hochwert in m	Geländeeinfluss in mgal
#oben: G0 .... unten: G16
0	3481614.437	5292057.407	-0.701
0.441	3481621.413	5292061.223	-0.707
1.003	3481627.473	5292064.683	-0.71
1.467	3481632.705	5292067.555	-0.711
1.941	3481636.998	5292070.046	-0.715
2.245	3481640.429	5292071.942	-0.715
2.554	3481643.087	5292073.375	-0.717
2.804	3481644.854	5292074.365	-0.717
3.039	3481646.563	5292075.442	-0.717
3.375	3481649.121	5292076.911	-0.719
3.739	3481652.539	5292078.931	-0.721
4.193	3481656.885	5292081.363	-0.722
4.63	3481662.03	5292084.363	-0.725
5.144	3481668.115	5292087.745	-0.73
5.808	3481674.994	5292091.684	-0.733
6.672	3481682.794	5292096.101	-0.738
7.708	3481688.051	5292099.103	-0.744
