996	928	734	572	414	333	255	202	147	96	7	-2	-26	-31	-49	-31	-19	1	1	-6	-2	-6	-4	-27	-35	-90	-109	-153	-166	-231	-272	-356	-411	-481	-521	-588	-593	-569	-518	-451	-331	-55	324	651	573	214	-197	-365	-448	-481	-551	-582	-595	-557	-561	-578	-655	-691	-684	-643	-616	-594	-540	-484	-393	-363	-376	-479	-498	-536	-497	-478	-448	-465	-397	-293	-102	-65	-151	-220
334	287	185	135	45	38	29	55	24	3	-58	-46	-42	2	22	37	41	48	56	34	-16	-103	-163	-281	-358	-479	-542	-590	-570	-584	-576	-565	-464	-351	-150	269	904	6031	7319	6211	967	431	47	-51	-94	-55	-55	-50	-85	-86	-117	-114	-105	-112	-121	-115	-132	-165	-185	-196	-172	-170	-124	-98	-74	-57	-38	-89	-124	-136	-105	-64	-39	-27	6	58	77	39	-50	-102
-11021	-10823	-9871	-8086	-956	-683	-329	49	503	813	961	991	1359	2211	1439	984	912	825	732	591	412	237	60	-145	-378	-497	-608	-698	-812	-850	-837	-783	-788	-737	-614	-457	-325	-192	-28	157	280	331	391	419	388	278	170	56	-46	-176	-245	-284	-284	-313	-312	-311	-267	-212	-129	-53	20	45	78	109	95	90	61	27	-45	-127	-227	-275	-350	-396	-470	-490	-522	-528	-547	-533
-6091	-6702	-8216	-7981	-5279	-939	-779	-587	-380	-57	270	520	708	878	982	992	991	984	987	991	999	1339	995	926	700	364	97	-122	-295	-489	-664	-763	-800	-792	-837	-818	-737	-598	-481	-313	-139	64	205	347	442	485	436	359	279	189	81	-30	-117	-185	-226	-281	-285	-298	-282	-288	-231	-176	-110	-62	17	41	54	43	31	27	10	-37	-116	-158	-218	-260	-321	-370	-455	-507
-128	-144	-128	-182	-140	-112	-69	0	84	181	280	359	389	408	401	409	412	426	428	465	493	539	483	394	260	115	-51	-169	-268	-352	-395	-406	-357	-298	-232	-201	-154	-134	-91	-57	17	81	136	155	165	164	154	124	89	48	13	0	-8	15	21	41	31	29	10	-4	-20	-10	-6	22	28	50	53	52	38	32	52	114	247	342	353	259	106	-103	-253	-367
280	268	256	227	217	243	207	204	224	226	257	250	262	242	251	241	253	239	245	222	178	138	112	101	60	28	-14	-25	-55	-73	-124	-150	-182	-170	-159	-125	-99	-65	-40	-13	1	26	50	74	82	65	50	27	13	-6	-9	-28	-31	-40	-32	-32	-23	-30	-37	-46	-42	-43	-50	-52	-43	-12	0	9	2	3	-11	-11	-24	-14	-16	-11	-11	2	9	15
364	350	310	270	233	209	200	186	188	177	195	178	178	171	195	186	184	174	169	131	130	93	87	62	39	11	-22	-42	-88	-75	-115	-141	-193	-165	-151	-106	-78	-45	-25	4	37	78	123	147	138	121	94	46	19	-3	-2	-9	13	25	36	26	21	9	13	25	25	23	26	40	39	34	18	14	-3	-2	-11	-7	-16	-24	-44	-59	-93	-137	-184	-231
325	317	301	271	237	206	192	184	192	198	212	210	231	225	227	217	219	204	197	167	158	157	180	188	182	161	101	72	47	24	-10	-8	-23	-12	-26	-24	-35	-26	-10	7	15	21	24	5	-10	-46	-76	-103	-94	-89	-72	-69	-35	-18	8	18	18	-1	-9	-14	-18	-28	-42	-51	-60	-61	-73	-77	-86	-81	-78	-65	-62	-45	-18	38	45	-39	-162	-289
19818	20092	20794	21471	22072	22789	22323	16348	8031	908	494	297	233	213	215	210	207	201	212	225	247	261	272	273	280	293	309	323	346	369	411	451	484	455	398	334	256	161	74	14	-36	-63	-85	-20	66	97	83	57	76	2	-37	-5	35	62	59	52	16	3	7	11	18	5	62	60	59	30	38	25	32	26	45	28	-13	-59	-92	-130	-162	-186	-198	-207
182	174	164	150	151	156	161	176	199	222	248	295	355	427	497	580	669	749	775	765	738	693	589	429	267	147	53	-14	-60	-92	-118	-126	-115	-67	54	207	195	43	-10	37	86	124	154	174	195	205	203	202	218	224	207	175	158	135	139	121	123	119	133	99	96	101	78	11	-58	-106	-148	-189	-240	-283	-306	-314	-333	-341	-323	-196	-43	113	233	289
