0	48514	48517	48518
1	48612	48604	48607
1.5	48665	48668	48666
2	48734	48733	48738
2.5	48792	48800	48804
3	48870	48873	48869
3.5	48948	48943	48947
4	49025	49026	49024
4.5	49090	49106	49108
5	49196	49201	49199	
5.5	49265	49259	49270
6	49362	49355	49355
6.5	49425	49429	49423
7	49480	49492	49489
7.5	49546	49544	49532
8	49546	49540	49547
8.5	49544	49551	49543	
9	49409	49411	49412
9.5	49432	49438	49431
10	49301	49301	49295
10.5	49214	49218	49204
11	49069	49059	49063
11.5	48933	48932	48931
12	48809	48816	48815
13	48612	48599	48607
14	48470	48473	48470
15	48379	48366	48369
16	48308	48312	48314
17	48265	48259	48264
18	48239	48239	48238
19	48210	48209	48211
20	48197	48195	48189
21	48179	48180	48181
22	48171	48174	48173
23	48162	48163	48161
24	48153	48154	48154
27	48150	48150	48150
30	48144	48141	48147
