Zeit	Kanal A	Kanal B
(s)	(V)	(V)
-18.07703238	0.11307110	0.43336280
-18.07569838	0.11307110	0.44709620
-18.07436438	0.11368150	0.44709620
-18.07303038	0.11444440	0.44709620
-18.07169638	0.11581770	0.45472580
-18.07036238	0.11734370	0.45472580
-18.06902838	0.11871700	0.45472580
-18.06769438	0.11948000	0.46845910
-18.06636038	0.11871700	0.46845910
-18.06502638	0.11795400	0.47608880
-18.06369238	0.11795400	0.47608880
-18.06235838	0.11871700	0.48982210
-18.06102438	0.12009030	0.48982210
-18.05969038	0.12085330	0.48982210
-18.05835638	0.12161630	0.48982210
-18.05702238	0.12222660	0.48982210
-18.05568838	0.12298960	0.49745170
-18.05435438	0.12222660	0.50355540
-18.05302038	0.12222660	0.50355540
-18.05168638	0.12375260	0.51118510
-18.05035238	0.12512590	0.51728870
-18.04901838	0.12649920	0.52491840
-18.04768438	0.12649920	0.52491840
-18.04635038	0.12649920	0.53254800
-18.04501638	0.12649920	0.53865170
-18.04368238	0.12649920	0.55238500
-18.04234838	0.12649920	0.56001470
-18.04101438	0.12802510	0.56001470
-18.03968038	0.12939850	0.56764430
-18.03834638	0.13016140	0.57374800
-18.03701238	0.13077180	0.58137760
-18.03567838	0.13077180	0.58137760
-18.03434438	0.13077180	0.58748130
-18.03301038	0.13077180	0.59511100
-18.03167638	0.13229770	0.60274060
-18.03034238	0.13367110	0.60274060
-18.02900838	0.13504440	0.60884430
-18.02767438	0.13580740	0.61647390
-18.02634038	0.13580740	0.62257760
-18.02500638	0.13580740	0.63020720
-18.02367238	0.13580740	0.63020720
-18.02233838	0.13641770	0.63783680
-18.02100438	0.13794370	0.64394060
-18.01967038	0.13931700	0.65157020
-18.01833638	0.13931700	0.65767380
-18.01700238	0.13931700	0.66530350
-18.01566838	0.13931700	0.67293320
-18.01433438	0.13931700	0.67903690
-18.01300038	0.14008000	0.68666640
-18.01166638	0.14069030	0.69277020
-18.01033238	0.14221630	0.70039980
-18.00899838	0.14358960	0.70650350
-18.00766438	0.14358960	0.71413310
-18.00633038	0.14358960	0.72176280
-18.00499638	0.14282660	0.72786640
-18.00366238	0.14282660	0.73549600
-18.00232838	0.14358960	0.74159980
-18.00099438	0.14435260	0.74922940
-17.99966038	0.14496290	0.75685910
-17.99832638	0.14572590	0.76296280
-17.99699238	0.14572590	0.77059240
-17.99565838	0.14572590	0.77059240
-17.99432438	0.14572590	0.77059240
-17.99299038	0.14648880	0.77059240
-17.99165638	0.14786220	0.77669610
-17.99032237	0.14862510	0.77669610
-17.98898837	0.14923550	0.78432570
